Rating,Number of Reviews,Installs,Size,Year,Month,Day,Minimum Version,Latest Version,Content Rating: Everyone,Content Rating: Teen,Content Rating: Everyone 10+,Content Rating: Mature 17+,Costs Money
4.793791771,18137,100000,82000000.0,2018,11,21,4.1,2.3,1,0,0,0,1
3.912713766,12396,100000,24000000.0,2014,12,22,3.0,1.4,0,0,1,0,1
4.775698662,241024,1000000,22455984.2626,2015,12,8,2.3,4.05466738559,1,0,0,0,1
4.40106678,7874,100000,22455984.2626,2018,6,21,4.0,4.05466738559,0,0,1,0,1
4.315958977,402103,1000000,26000000.0,2015,3,21,3.0,1.0,0,0,0,1,1
4.575959682,193616,1000000,98000000.0,2019,3,19,2.3,3.1,1,0,0,0,1
4.421985626,68135,10000000,33000000.0,2019,3,19,4.1,1.0,1,0,0,0,0
3.650285959,16605,500000,13000000.0,2019,4,2,5.0,4.1,1,0,0,0,1
4.771030903,4529,50000,23000000.0,2019,3,3,2.2,1.1,1,0,0,0,1
4.151278019,2426,100000,5200000.0,2019,4,2,4.3,10.0,1,0,0,0,1
4.032801628,311172,10000000,116000000.0,2019,2,26,4.1,3.4,1,0,0,0,0
4.52852726,19490,100000,22455984.2626,2019,3,29,4.0,4.05466738559,0,0,0,1,1
3.98486948,3290123,100000000,20000000.0,2019,4,2,5.0,10.0,0,0,0,1,0
4.544158936,1525727,10000000,69000000.0,2019,3,13,4.1,0.1,0,0,1,0,0
3.832101583,9065,50000,31000000.0,2019,3,7,4.3,52.0,1,0,0,0,1
4.711219311,26134,100000,37000000.0,2019,3,18,4.4,1.6,0,1,0,0,1
4.631342411,10465,100000,111000000.0,2019,4,1,4.4,1.1,0,0,1,0,1
4.555983543,4930,100000,83000000.0,2018,4,17,4.0,1.2,1,0,0,0,1
4.57557869,104679,1000000,50000000.0,2014,12,2,2.3,1.8,0,1,0,0,1
4.889363289,26926,100000,69000000.0,2018,10,24,4.1,1.4,1,0,0,0,1
4.35727787,24849,500000,63000000.0,2019,3,20,4.4,2.2,1,0,0,0,1
4.223941803,106684,1000000,41000000.0,2018,6,25,2.3,6.9,0,0,1,0,1
4.795760155,315467,1000000,22455984.2626,2019,1,18,4.05466738559,4.05466738559,1,0,0,0,1
4.572208405,25094,100000,36000000.0,2019,2,20,5.0,2.3,0,0,1,0,1
4.446969509,56637,1000000,12000000.0,2018,10,31,2.0,1.8,1,0,0,0,1
4.401416779,17787,100000,22455984.2626,2019,3,11,4.0,1.2,1,0,0,0,1
4.443914413,24534,1000000,431000.0,2018,8,16,4.0,201.0,1,0,0,0,1
4.589625835,5074006,50000000,22455984.2626,2019,2,28,4.0,3.2,1,0,0,0,0
4.587014675,653815,10000000,28000000.0,2019,3,8,4.1,1.7,0,0,0,1,1
4.267955303,234677,1000000,49000000.0,2016,8,1,4.0,1.2,0,1,0,0,1
4.627589703,4522037,50000000,22455984.2626,2019,3,28,4.0,2.5,1,0,0,0,0
4.267610073,259852,10000000,101000000.0,2019,3,20,4.4,3.0,0,1,0,0,0
4.328167439,268826,10000000,86000000.0,2019,4,3,4.0,1.2,0,1,0,0,0
4.65933609,942337,10000000,83000000.0,2019,3,28,4.4,1.8,1,0,0,0,0
4.205297947,453,10000,9600000.0,2018,9,4,4.1,1.1,1,0,0,0,1
4.405611038,307674,1000000,25000000.0,2018,9,17,2.3,1.7,0,1,0,0,0
4.354444504,1547876,10000000,39000000.0,2019,3,14,4.0,13.0,0,1,0,0,0
4.384010315,3815,500000,30000000.0,2019,3,29,4.1,1.1,1,0,0,0,0
4.226744175,172,5000,4100000.0,2018,12,22,4.0,1.5,1,0,0,0,1
4.186937332,36103,100000,81000000.0,2019,3,13,4.1,3.6,1,0,0,0,1
4.038673878,181,5000,22455984.2626,2018,6,16,4.05466738559,4.05466738559,1,0,0,0,1
4.28166008,130228,1000000,23000000.0,2016,2,11,2.3,1.1,0,0,1,0,1
4.627410412,2168702,10000000,22455984.2626,2019,3,27,4.1,3.2,1,0,0,0,0
4.376811504,621,5000,6500000.0,2015,9,29,4.1,1.0,1,0,0,0,1
3.440437794,1553,10000,41000000.0,2018,8,23,4.0,1.4,0,0,1,0,1
4.549053192,5280,10000,3700000.0,2014,3,27,2.3,1.1,0,1,0,0,1
4.429720879,2113,10000,5000000.0,2015,4,20,4.0,1.0,0,1,0,0,1
4.682920456,3876,10000,22000000.0,2016,1,27,4.0,1.4,0,1,0,0,1
4.321475029,26030,100000,42000000.0,2018,10,26,4.0,1.8,1,0,0,0,1
4.54138422,3983949,100000000,22455984.2626,2019,2,12,4.0,2.2,0,1,0,0,0
3.996799469,3437,100000,50000000.0,2019,1,11,4.0,2.9,1,0,0,0,1
3.942611217,697,10000,7000000.0,2015,2,5,2.3,1.6,1,0,0,0,1
4.307017326,456,5000,27000000.0,2015,5,8,2.2,1.8,1,0,0,0,1
4.137860298,972,10000,7300000.0,2015,7,7,2.3,1.0,1,0,0,0,1
4.555639744,1321,10000,25000000.0,2018,11,8,4.1,1.0,1,0,0,0,1
4.313838482,6070,50000,5200000.0,2018,8,3,4.0,1.0,0,1,0,0,1
4.394917011,10230,100000,22455984.2626,2019,3,22,4.05466738559,4.05466738559,1,0,0,0,1
4.284799099,101317,1000000,16000000.0,2017,10,4,4.0,1.4,0,0,1,0,1
4.439757824,1544459,10000000,22455984.2626,2019,3,18,4.4,5.4,1,0,0,0,0
4.364147663,388021,10000000,67000000.0,2019,1,31,4.1,1.3,0,1,0,0,0
4.235703945,1409443,50000000,64000000.0,2017,2,15,4.0,2.3,1,0,0,0,0
4.008750916,1257,10000,34000000.0,2014,10,13,2.3,1.0,1,0,0,0,1
4.454586506,24387,100000,22455984.2626,2019,1,16,4.05466738559,4.05466738559,0,0,1,0,1
4.058241844,910,10000,47000000.0,2015,2,19,2.3,2.0,0,1,0,0,1
4.680418491,10229,50000,21000000.0,2017,6,7,4.0,1.1,0,0,1,0,1
4.213618279,749,10000,46000000.0,2015,1,11,2.3,1.0,0,1,0,0,1
